,postal_code,name,lat,lon
10051,28330,Authon-du-Perche,48.185,0.8916
10052,28140,Baigneaux,48.1266,1.8201
10053,28120,Bailleau-le-Pin,48.3567,1.3265
10054,28300,Bailleau-l'Évêque,48.488,1.3988
10055,28320,Bailleau-Armenonville,48.5308,1.6404
10056,28630,Barjouville,48.4044,1.4713
10057,28310,Barmainville,48.258,1.956
10058,28310,Baudreville,48.3241,1.8922
10059,28330,La Bazoche-Gouet,48.1356,0.9803
10060,28140,Bazoches-en-Dunois,48.0911,1.5751
10061,28140,Bazoches-les-Hautes,48.1622,1.825
10062,28270,Beauche,48.6785,0.9818
10063,28480,Beaumont-les-Autels,48.2416,0.9613
10064,28150,Beauvilliers,48.2994,1.6561
10065,28240,Belhomert-Guéhouville,48.501,1.0541
10066,28300,Berchères-Saint-Germain,48.5365,1.4569
10067,28630,Berchères-les-Pierres,48.3758,1.5595
10068,28260,Berchères-sur-Vesgre,48.8443,1.5511
10069,28270,Bérou-la-Mulotière,48.742,1.0741
10070,28330,Béthonvilliers,48.2304,0.9016
10071,28700,Béville-le-Comte,48.4378,1.7032
10072,28190,Billancelles,48.4945,1.2131
10073,28120,Blandainville,48.3119,1.294
10074,28500,Boissy-en-Drouais,48.7297,1.251
10075,28340,Boissy-lès-Perche,48.679,0.9006
10076,28150,Boisville-la-Saint-Père,48.3331,1.7008
10077,28360,La Bourdinière-Saint-Loup,48.3183,1.4272
10078,28150,Boncé,48.3062,1.5211
10079,28260,Boncourt,48.8445,1.4645
10080,28800,Bonneval,48.1787,1.3844
10081,28130,Bouglainval,48.5522,1.5091
10082,28170,Le Boullay-les-Deux-Églises,48.6302,1.3275
10083,28210,Le Boullay-Mivoye,48.6551,1.4082
10084,28210,Le Boullay-Thierry,48.6352,1.4357
10085,28410,Boutigny-Prouais,48.7363,1.5674
10086,28800,Bouville,48.2631,1.3804
10087,28210,Bréchamps,48.6713,1.5193
10088,28270,Brezolles,48.6898,1.064
10089,28300,Briconville,48.5166,1.3901
10090,28160,Brou,48.2189,1.1557
10091,28410,Broué,48.752,1.5251
10092,28410,Bû,48.8041,1.4888
10093,28800,Bullainville,48.1717,1.5073
10094,28120,Cernay,48.3871,1.2316
10095,28300,Challet,48.5529,1.4276
10096,28300,Champhol,48.4679,1.5129
10097,28240,Champrond-en-Gâtine,48.3993,1.073
10098,28400,Champrond-en-Perchet,48.31,0.8878
10099,28700,Champseru,48.489,1.6494
10100,28700,La Chapelle-d'Aunainville,48.4154,1.7952
10101,28200,La Chapelle-du-Noyer,48.0402,1.3147
10102,28500,La Chapelle-Forainvilliers,48.7284,1.4916
10103,28340,La Chapelle-Fortin,48.6486,0.8603
10104,28330,Chapelle-Guillaume,48.1205,0.8963
10105,28290,Chapelle-Royale,48.1528,1.0439
10106,28330,Charbonnières,48.1891,0.9448
10107,28120,Charonville,48.2796,1.3145
10108,28500,Charpont,48.6945,1.4329
10109,28130,Chartainvilliers,48.5453,1.5475
10110,28000,Chartres,48.4481,1.5046
10111,28480,Chassant,48.2915,1.0652
10112,28270,Châtaincourt,48.6906,1.237
10113,28200,Châteaudun,48.0718,1.3207
